drugname,total_reports,death_rate_pct,outcome,report_count
KEYTRUDA,7675.0,19.4,Death,1489.0
ACETAMINOPHEN,7539.0,23.89,Death,1801.0
ALBUTEROL SULFATE,7409.0,0.2,Death,15.0
TEDUGLUTIDE,7346.0,6.34,Death,466.0
METHOTREXATE,7236.0,10.95,Death,792.0
NEMLUVIO,6946.0,0.71,Death,49.0
REPATHA,6903.0,2.65,Death,183.0
ELIQUIS,6716.0,14.55,Death,977.0
PREDNISONE,6660.0,14.35,Death,956.0
TYVASO DPI,6498.0,2.91,Death,189.0
SPRAVATO,6469.0,2.41,Death,156.0
LANTUS SOLOSTAR,6408.0,0.17,Death,11.0
CORTICOTROPIN,6358.0,1.65,Death,105.0
TYMLOS,6287.0,1.26,Death,79.0
COSENTYX,6172.0,7.29,Death,450.0
JAKAFI,6171.0,7.08,Death,437.0
REMODULIN,5964.0,4.64,Death,277.0
ELIGARD,5844.0,14.25,Death,833.0
TREMFYA,5681.0,1.25,Death,71.0
MYCOPHENOLATE MOFETIL,5676.0,14.62,Death,830.0
CARBOPLATIN,5619.0,12.01,Death,675.0
TISLELIZUMAB,5583.0,0.52,Death,29.0
NUCALA,5563.0,2.12,Death,118.0
ADALIMUMAB,5417.0,12.04,Death,652.0
WEGOVY,5276.0,0.66,Death,35.0
XELJANZ XR,5243.0,1.64,Death,86.0
CABOMETYX,5233.0,5.03,Death,263.0
IBRANCE,5179.0,10.74,Death,556.0
TACROLIMUS,5147.0,12.98,Death,668.0
XOLAIR,5086.0,0.92,Death,47.0
TYLENOL,4981.0,0.92,Death,46.0
INFLIXIMAB,4638.0,4.05,Death,188.0
OCREVUS,4572.0,2.01,Death,92.0
BENLYSTA,4541.0,0.7,Death,32.0
ATORVASTATIN,4512.0,3.81,Death,172.0
FINASTERIDE,4420.0,2.17,Death,96.0
SIMPONI,4419.0,1.45,Death,64.0
CLOZARIL,4413.0,20.24,Death,893.0
TRULICITY,4339.0,1.06,Death,46.0
LEVETIRACETAM,4253.0,4.21,Death,179.0
CREON,4211.0,9.4,Death,396.0
KEVZARA,4207.0,1.85,Death,78.0
HUMAN IMMUNOGLOBULIN G\HYALURONIDASE RECOMBINANT HUMAN,4183.0,6.65,Death,278.0
KESIMPTA,4162.0,1.59,Death,66.0
IBUPROFEN,4159.0,4.3,Death,179.0
TYVASO,4114.0,6.27,Death,258.0
CLOZAPINE,4085.0,14.91,Death,609.0
ULTOMIRIS,4018.0,9.81,Death,394.0
HUMALOG,3909.0,0.72,Death,28.0
INFLECTRA,3898.0,1.56,Death,61.0
DEXAMETHASONE,3854.0,12.9,Death,497.0
STELARA,3850.0,1.97,Death,76.0
METFORMIN,3812.0,10.49,Death,400.0
BEVACIZUMAB,3700.0,19.68,Death,728.0
CARBIDOPA\LEVODOPA,3658.0,33.41,Death,1222.0
MIRENA,3573.0,0.11,Death,4.0
VENCLEXTA,3493.0,30.52,Death,1066.0
PLUVICTO,3478.0,9.03,Death,314.0
SERTRALINE,3456.0,5.15,Death,178.0
TYSABRI,3410.0,4.19,Death,143.0
OXALIPLATIN,3388.0,10.24,Death,347.0
REMICADE,3329.0,3.09,Death,103.0
CERTOLIZUMAB PEGOL,3308.0,2.33,Death,77.0
OXERVATE,3307.0,0.91,Death,30.0
OSIMERTINIB,3302.0,40.31,Death,1331.0
PARAGARD T 380A,3287.0,0.09,Death,3.0
EMGALITY,3277.0,0.18,Death,6.0
ENBREL,3258.0,5.22,Death,170.0
LENVIMA,3245.0,6.59,Death,214.0
TRELEGY ELLIPTA,3151.0,4.79,Death,151.0
PREGABALIN,3136.0,11.19,Death,351.0
ORENITRAM,3128.0,2.43,Death,76.0
OMNITROPE,3053.0,0.39,Death,12.0
GABAPENTIN,2974.0,10.02,Death,298.0
ALBUTEROL,2973.0,2.76,Death,82.0
XYWAV,2945.0,0.54,Death,16.0
PEMBROLIZUMAB,2938.0,12.76,Death,375.0
BOTOX,2931.0,10.92,Death,320.0
EPIDIOLEX,2929.0,16.32,Death,478.0
METHOTREXATE SODIUM,2898.0,4.87,Death,141.0
PROLIA,2872.0,17.79,Death,511.0
TALTZ,2840.0,1.65,Death,47.0
AMLODIPINE,2835.0,9.1,Death,258.0
BREZTRI,2817.0,4.54,Death,128.0
OLANZAPINE,2817.0,7.06,Death,199.0
FILSPARI,2784.0,0.54,Death,15.0
XELJANZ,2776.0,3.42,Death,95.0
OPDIVO,2760.0,20.54,Death,567.0
ACTEMRA,2749.0,9.6,Death,264.0
IMBRUVICA,2741.0,16.6,Death,455.0
DAYBUE,2733.0,0.51,Death,14.0
FOSCARBIDOPA\FOSLEVODOPA,2718.0,17.26,Death,469.0
OFEV,2673.0,19.72,Death,527.0
OTEZLA,2672.0,2.17,Death,58.0
PAXLOVID,2663.0,1.35,Death,36.0
KISQALI,2661.0,11.39,Death,303.0
PREDNISOLONE,2629.0,12.02,Death,316.0
VERZENIO,2613.0,4.4,Death,115.0
PACLITAXEL,2521.0,7.3,Death,184.0
BIMEKIZUMAB,2512.0,1.07,Death,27.0
AYVAKIT,2423.0,2.02,Death,49.0
SOLIRIS,2420.0,17.27,Death,418.0
LUPKYNIS,2417.0,0.37,Death,9.0
ARIPIPRAZOLE,2377.0,7.15,Death,170.0
XOLAIR PFS,2373.0,1.31,Death,31.0
HEMLIBRA,2360.0,4.19,Death,99.0
CYCLOSPORINE,2357.0,14.59,Death,344.0
